iter	M_lnV_dist(1)	M_lnk_e(1)	M_lnk_a(1)	V_lnV_dist(1)	V_lnk_e(1)	V_lnk_a(1)	Ve_lnC_rest(1)	lnV_dist(1.1)	lnk_e(1.1)	lnk_a(1.1)	lnV_dist(1.1.1)	lnk_e(1.1.1)	lnk_a(1.1.1)	lnV_dist(1.2)	lnk_e(1.2)	lnk_a(1.2)	lnV_dist(1.2.1)	lnk_e(1.2.1)	lnk_a(1.2.1)	LnPrior	LnData	LnPosterior
2080	-0.594833	-2.01195	-0.753091	0.198746	0.083887	0.128872	0.485739	-0.521493	-1.95051	-0.379335	-0.871535	-1.71809	-0.698402	-0.849838	-2.26013	-0.648704	-0.639207	-2.07952	-0.49111	5.691508e-01	-3.649881e+01	-3.592966e+01
2090	-0.287738	-2.11926	-1.79697	0.192545	0.181606	0.417	0.495511	-0.875823	-1.54576	-1.56899	-1.209	-1.79836	-1.84714	-0.310848	-2.27767	-1.51649	-0.610964	-2.47987	-1.54391	-5.755776e+00	-3.619826e+01	-4.195404e+01
2100	-1.8821	-1.87411	-0.634413	0.264324	0.178599	0.0860056	0.483024	-1.44346	-1.23255	-0.51211	-1.42047	-0.367399	-0.882214	-1.06063	-2.28256	-1.20159	-0.493914	-2.32768	-1.02143	-7.640598e+00	-3.658522e+01	-4.422582e+01
2110	-0.199279	-2.89703	-1.33506	0.284363	1.04959	0.068875	0.424365	-0.326531	-3.46741	-0.884958	-1.33495	-3.30244	-0.756962	-0.511686	-3.30465	-1.12479	-0.650159	-5.60154	-0.961148	-1.267048e+01	-3.881298e+01	-5.148346e+01
2120	-1.06292	-3.58611	-0.656406	0.137541	1.14559	0.0787813	0.49458	-0.192828	-2.54228	-0.622319	-0.139017	-4.70218	-0.710431	-0.625029	-2.08548	-0.947176	-0.948259	-0.0344717	-1.07753	-1.479487e+01	-3.622620e+01	-5.102107e+01
2130	-0.602826	-1.58436	-1.15201	0.178627	0.951593	0.0936276	0.495512	-0.349643	-0.658519	-1.07555	-1.01499	-1.21517	-0.60332	-0.277982	-3.00422	-0.84915	-1.1523	-3.44756	-0.555074	-1.227243e+01	-3.619823e+01	-4.847066e+01
2140	-0.487045	-1.52476	-1.15249	0.675936	0.912596	0.220336	0.3985	-0.884101	-1.02638	-1.74143	-0.778206	-0.954877	-2.01683	-0.758201	-4.22251	-0.312486	-0.753695	-4.3637	-0.232778	-1.855861e+01	-4.006676e+01	-5.862537e+01
2150	-1.19674	-3.3225	-1.28016	0.117928	0.199252	0.0788048	0.468566	-0.600936	-3.49116	-1.80984	-0.775839	-3.37436	-1.89261	-1.45041	-2.59344	-1.16941	-1.36213	-2.08502	-1.03143	-3.168657e+00	-3.706763e+01	-4.023629e+01
2160	-0.974239	-2.93767	-1.86178	0.0890176	0.285958	0.258893	0.489841	-1.14398	-2.08991	-2.48833	-1.09573	-2.93112	-2.40858	-1.19545	-2.95054	-1.98089	-1.53418	-2.39766	-0.512315	-1.064001e+01	-3.637070e+01	-4.701071e+01
2170	-1.82925	-2.84299	-1.0439	0.202986	0.167249	0.342455	0.489592	-0.82697	-2.8204	-1.50142	-1.22589	-2.90727	-1.38131	-1.49415	-3.35622	-0.353149	-0.946915	-3.96602	-0.300178	-8.717189e+00	-3.637842e+01	-4.509561e+01
2180	-1.67192	-2.56282	-0.166659	0.429143	0.167249	0.572911	0.474607	-0.94479	-2.47686	-0.738564	-0.289308	-3.3521	-0.737284	-1.3648	-3.22546	-0.371297	-1.20812	-2.96972	-0.294287	-1.134751e+01	-3.686134e+01	-4.820885e+01
2190	-1.8558	-1.56642	-1.06425	0.293079	0.326882	0.731299	0.495188	-0.981967	-1.89806	-0.590607	-1.12302	-1.92872	-1.37686	-1.78498	-1.12763	-0.0075085	-1.54935	-1.27895	-1.26866	-1.260043e+01	-3.620794e+01	-4.880837e+01
2200	-1.20699	-2.10097	-0.99113	0.202988	0.176824	0.714021	0.487076	-1.9022	-1.19889	-0.0547992	-1.90353	-1.29098	-0.45866	-1.82626	-2.34314	-1.19314	-1.84799	-2.07796	-0.99523	-1.049035e+01	-3.645674e+01	-4.694709e+01
2210	-1.30515	-1.28373	-0.820781	0.0767245	0.141535	0.274981	0.453608	-1.57165	-0.620074	-0.629517	-1.00037	-0.482539	-0.788478	-1.82329	-1.38463	-1.15905	-1.78531	-1.71907	-1.25218	-5.171388e+00	-3.760943e+01	-4.278082e+01
2220	-0.898528	-0.455031	-0.124985	0.437645	0.217101	0.0940489	0.491485	-1.22317	-0.0713202	-0.0634111	-1.56051	-0.15564	-0.0927553	-0.685165	-0.066242	-0.728796	-1.13468	-0.339951	-1.05452	-3.181746e+00	-3.632017e+01	-3.950192e+01
2230	-0.950743	-0.38984	-0.93826	0.0874066	0.274319	0.0968357	0.484055	-0.694822	-0.573819	-0.908508	-0.662009	-0.00923035	-1.01518	-0.468747	-0.422197	-1.06399	-0.6272	-0.765524	-1.2474	-2.015223e-01	-3.655227e+01	-3.675379e+01
2240	-1.00094	-0.720429	-1.11118	0.131939	0.327394	0.0968357	0.484193	-0.663061	-1.68508	-0.958577	-0.725511	-1.4964	-1.14197	-1.6761	-0.714859	-1.31507	-1.07327	-1.02981	-1.57518	-5.408717e+00	-3.654785e+01	-4.195657e+01
2250	-0.561055	-1.96246	-1.23995	0.12913	0.247199	0.0751877	0.450783	-0.397448	-1.35684	-0.701123	-0.514032	-1.35777	-0.504097	-1.20341	-1.12112	-1.23055	-0.646912	-0.955438	-1.06547	-5.319912e+00	-3.771703e+01	-4.303694e+01
2260	-0.152126	-0.324464	-1.00847	0.152239	0.102641	0.113187	0.438781	-0.752517	-0.408202	-0.939874	-0.197224	-0.514934	-1.11546	-0.743387	-0.107107	-1.31269	-1.30812	-0.284834	-1.2936	1.100596e-01	-3.819407e+01	-3.808401e+01
2270	-0.605595	-0.712869	-0.844876	0.284917	0.130483	0.319297	0.458283	-0.678786	-1.17386	-0.491153	-0.563874	-0.81346	-0.484924	-1.13762	-0.37368	-1.5786	-1.5796	-0.0971451	-1.05183	-6.491671e+00	-3.743515e+01	-4.392682e+01
2280	-0.814221	-0.676116	-1.58315	0.178257	0.130483	0.744875	0.492962	-0.38464	-0.327777	-0.846012	-0.724721	-0.467348	-0.733968	-0.78784	-1.32528	-1.23356	-0.32964	-1.73763	-0.536528	-9.416444e+00	-3.627513e+01	-4.569158e+01
2290	-0.27356	-0.0380983	-0.0933522	0.316182	0.107562	0.0992202	0.472516	-0.940761	-0.652319	-0.300116	-0.777578	-0.585839	-0.117532	-0.104023	-0.224051	-0.357516	-0.600578	-0.573046	-0.421532	8.044274e-01	-3.693196e+01	-3.612753e+01
2300	-0.145777	-0.218675	-0.0829071	0.287405	0.107562	0.0662501	0.477944	-0.356098	-8.78789e-05	-0.0175878	-0.353889	-0.406489	-0.314361	-0.264029	-0.0800042	-0.158978	-0.630992	-0.21922	-0.328204	4.964222e+00	-3.675035e+01	-3.178613e+01
2310	-0.955118	-0.0556606	-0.131831	0.234328	0.122918	0.13383	0.452197	-0.279612	-0.545052	-0.0652389	-1.20732	-0.658197	-0.370324	-0.368489	-0.150061	-0.865799	-0.823141	-0.466821	-0.6939	-3.089098e+00	-3.766297e+01	-4.075206e+01
2320	-0.329867	-0.0452345	-0.407973	0.166843	0.122918	0.13383	0.440868	-0.68132	-0.0762592	-0.465031	-0.785285	-0.704495	-0.71731	-0.71765	-0.0569666	-0.0553377	-0.525881	-0.376582	-0.602855	1.430137e+00	-3.810872e+01	-3.667858e+01
2330	-0.658149	-0.364417	-0.665129	0.0489269	0.122918	0.115462	0.432765	-0.915399	-0.251941	-0.527898	-0.746336	-0.699871	-0.116919	-0.775328	-0.116453	-0.829728	-0.906229	-0.302441	-0.106407	6.321100e-04	-3.844599e+01	-3.844535e+01
2340	-0.577743	-0.364417	-1.50437	0.0489269	0.513336	0.224939	0.492026	-0.800171	-1.13381	-1.44098	-0.81977	-1.4062	-1.34061	-0.797112	-0.272631	-1.22118	-0.473206	-0.349682	-0.664239	-5.708948e+00	-3.630363e+01	-4.201258e+01
2350	-0.195749	-1.02246	-0.550624	0.0957189	0.244294	0.559395	0.472636	-0.208312	-0.605498	-1.29213	-0.228246	-1.3527	-2.06078	-0.485078	-0.153046	-1.17624	-0.573526	-0.802172	-1.29896	-7.506125e+00	-3.692790e+01	-4.443402e+01
2360	-0.122916	-1.63158	-1.105	0.0871007	0.468391	0.412273	0.488923	-0.469198	-1.07616	-1.16106	-0.471799	-2.73219	-1.38993	-0.239885	-1.3298	-1.19709	-0.385913	-1.48338	-1.775	-8.519973e+00	-3.639913e+01	-4.491910e+01
2370	-0.273556	-2.43425	-1.25605	0.0774042	0.116639	0.139662	0.499007	-0.364626	-2.78336	-1.08942	-0.152039	-2.95117	-2.00476	-0.316939	-2.27096	-0.844589	-0.372029	-2.51338	-0.150023	-1.871586e+00	-3.609452e+01	-3.796610e+01
2380	-0.10772	-2.75161	-1.78406	0.0806404	0.116639	0.115218	0.469765	-0.718429	-3.39002	-1.72572	-0.681768	-3.78935	-1.61424	-0.21939	-2.81266	-0.793432	-0.487849	-2.48323	-0.830035	-3.915692e+00	-3.702615e+01	-4.094184e+01
2390	-0.521779	-3.44355	-2.06327	0.0926346	0.116639	0.471068	0.446786	-0.834498	-3.84833	-2.39745	-1.09879	-4.02701	-2.47788	-0.860448	-3.37935	-1.51987	-1.31975	-3.47201	-1.67542	-4.850928e+00	-3.787224e+01	-4.272317e+01
2400	-0.543814	-3.24448	-0.638533	0.204743	0.116639	0.128733	0.475278	-0.938257	-3.16676	-0.44038	-0.685099	-3.82357	-1.02895	-0.555036	-3.32746	-0.647355	-1.11313	-3.38083	-0.586638	-2.310054e+00	-3.683887e+01	-3.914892e+01
2410	-0.543127	-3.51877	-0.92523	0.344515	0.116639	0.132278	0.441873	-0.414562	-2.96838	-1.54132	-1.30355	-2.80818	-1.4609	-0.461577	-3.21668	-1.65162	-0.184115	-3.24216	-1.92919	-6.146702e+00	-3.806799e+01	-4.421469e+01
2420	-1.04018	-3.93845	-0.94994	0.222545	0.23703	0.212198	0.47671	-1.47691	-3.41568	-1.31866	-0.934781	-2.75193	-1.90883	-0.799068	-3.79092	-0.860792	-1.01251	-3.63691	-1.19352	-6.735993e+00	-3.679115e+01	-4.352714e+01
2430	-1.13307	-3.08238	-1.84902	0.0673149	0.101766	0.145461	0.467283	-1.14715	-2.99499	-1.73751	-1.41979	-2.73296	-0.568054	-0.716385	-3.45708	-1.86183	-0.783572	-3.43953	-1.61551	-3.533203e+00	-3.711232e+01	-4.064552e+01
2440	-0.876131	-3.27547	-1.58082	0.066289	0.101766	0.145461	0.46033	-0.725861	-2.96456	-1.1902	-0.594532	-2.92003	-1.37811	-1.40989	-3.54516	-1.98948	-1.29734	-3.57368	-1.98318	-2.196638e-01	-3.736029e+01	-3.757995e+01
2450	-1.07284	-3.75696	-0.469369	0.325875	0.101766	0.327516	0.477386	-1.57763	-3.78433	-0.552625	-1.27353	-4.20147	-0.217678	-0.886686	-3.22937	-1.9343	-1.09991	-3.24964	-1.11792	-9.586602e+00	-3.676875e+01	-4.635535e+01
2460	-0.298262	-3.81966	-1.93159	0.266298	0.0992785	0.0955496	0.450048	-1.06476	-3.94019	-1.66028	-1.82746	-4.449	-1.19856	-0.669562	-3.51151	-1.87057	-0.594244	-3.85654	-1.33706	-5.126912e+00	-3.774532e+01	-4.287223e+01
2470	-0.173463	-3.57052	-1.21854	0.113824	0.402429	0.0788352	0.480422	-0.32195	-3.27587	-1.59952	-0.429521	-3.17659	-1.63332	-0.460768	-3.80126	-1.05573	-0.431217	-4.35375	-0.913898	-9.289282e-01	-3.666920e+01	-3.759813e+01
2480	-1.41344	-2.14393	-0.773467	0.237217	0.201113	0.0788352	0.498585	-1.42172	-2.4279	-0.603266	-1.70425	-2.9886	-0.802209	-0.928774	-1.87124	-0.633216	-0.710663	-1.63546	-0.403043	-2.286299e+00	-3.610693e+01	-3.839323e+01
2490	-1.66273	-1.78996	-0.217467	0.240221	0.186136	0.11557	0.488742	-1.43146	-2.25895	-0.397859	-1.76929	-2.17393	-0.0809423	-1.14812	-1.91098	-0.777702	-1.21165	-1.43208	-0.657527	-3.047817e+00	-3.640476e+01	-3.945258e+01
2500	-1.56043	-2.23064	-0.506262	0.262088	0.20725	0.11557	0.468733	-1.42155	-1.62165	-0.466898	-2.08274	-2.47178	-0.503446	-1.62935	-2.33778	-0.847516	-2.00893	-2.36696	-1.07398	-4.578284e+00	-3.706183e+01	-4.164012e+01
2510	-0.563703	-1.64047	-0.628831	1.10827	0.20725	0.107677	0.467262	-1.21106	-2.04832	-0.833918	-2.08304	-1.71777	-1.15915	-1.86744	-2.28377	-0.757609	-1.7149	-2.15393	-0.550929	-9.213478e+00	-3.711308e+01	-4.632656e+01
2520	-1.16608	-2.44045	-0.397106	0.955034	0.20725	0.0756244	0.499882	-1.56794	-2.90241	-0.400566	-1.9548	-2.27345	-0.315415	-1.71985	-2.17843	-0.622918	-1.52678	-2.77786	-0.793369	-7.572012e+00	-3.606888e+01	-4.364089e+01
2530	-1.46366	-1.88308	-0.216197	0.082808	0.20725	0.0756244	0.499334	-1.17612	-2.53367	-0.212456	-1.23814	-2.73808	-0.40526	-1.38559	-1.8187	-0.574021	-1.20975	-1.47629	-0.257806	2.190025e-01	-3.608491e+01	-3.586591e+01
2540	-1.3598	-2.89093	-0.258033	0.149437	0.0961956	0.18274	0.491656	-1.23926	-2.68538	-0.156542	-0.95028	-2.73251	-0.199827	-1.22512	-2.08921	-0.574021	-1.67654	-1.23143	-0.49811	-5.509123e+00	-3.631493e+01	-4.182405e+01
2550	-1.69885	-2.40222	-0.808179	0.243248	0.158047	0.0960126	0.494425	-1.30685	-2.99998	-0.457179	-1.34108	-2.39031	-0.585425	-1.62612	-2.5686	-0.789296	-1.38272	-1.92188	-0.939514	-3.467618e+00	-3.623089e+01	-3.969851e+01
2560	-1.95467	-2.99519	-0.2748	0.332355	0.310429	0.425643	0.451978	-1.51421	-3.29544	-0.23118	-1.85695	-3.66328	-0.814744	-1.52048	-2.13766	-0.0384962	-1.68159	-1.79842	-0.0248468	-8.035393e+00	-3.767133e+01	-4.570672e+01
2570	-1.9808	-2.17721	-0.0494677	0.149109	0.0451726	0.0642655	0.371094	-2.05328	-2.5589	-0.0143091	-1.73402	-2.30461	-0.00939781	-1.91088	-2.29486	-0.372789	-1.70777	-2.00412	-0.205665	3.658580e+00	-4.163543e+01	-3.797685e+01
2580	-1.70868	-2.51741	-0.425505	0.147309	0.0451726	0.0521222	0.4503	-1.52731	-2.5076	-0.265175	-1.69628	-2.58888	-0.0425184	-1.90872	-2.13289	-0.52382	-2.00004	-2.02581	-0.781147	2.045752e+00	-3.773560e+01	-3.568985e+01
2590	-1.99782	-1.89196	-2.02897	0.373042	0.142658	0.556548	0.475441	-1.67344	-2.14451	-0.539976	-1.2668	-2.57236	-0.207344	-1.90851	-1.75514	-1.51655	-1.14026	-1.54988	-0.603689	-1.036398e+01	-3.683343e+01	-4.719741e+01
2600	-1.36154	-1.61836	-1.43694	0.146299	0.142403	0.461475	0.465799	-1.10705	-2.2685	-1.02254	-1.27624	-2.55028	-0.353713	-0.935879	-1.26593	-2.05197	-1.6119	-1.72248	-1.88129	-9.053199e+00	-3.716446e+01	-4.621765e+01
2610	-1.25805	-1.61669	-1.94822	0.0928362	0.418453	0.220727	0.488909	-1.98899	-1.95261	-1.72572	-1.82165	-2.53376	-2.2344	-1.07165	-1.12632	-2.17632	-1.03562	-0.520279	-2.48073	-7.685736e+00	-3.639957e+01	-4.408530e+01
2620	-1.52302	-2.16217	-2.2165	1.03425	0.303287	0.0711014	0.49316	-1.21502	-2.32381	-2.14447	-0.901152	-1.97262	-2.3345	-1.42851	-2.0157	-2.2561	-1.33151	-2.05582	-2.0796	-7.084709e+00	-3.626913e+01	-4.335384e+01
2630	-0.867385	-2.40877	-2.14704	0.741998	0.0882558	0.0946715	0.485607	-0.912882	-2.38604	-2.16111	-0.856289	-1.3196	-2.37661	-1.76476	-1.77268	-1.76336	-1.87981	-1.47083	-1.52997	-1.246068e+01	-3.650301e+01	-4.896369e+01
2640	-1.59972	-1.98628	-2.21751	0.183249	0.0882558	0.14977	0.497558	-1.15236	-1.88662	-2.13396	-2.04188	-2.18468	-1.86321	-1.42641	-2.19547	-2.16917	-1.46593	-2.03215	-1.95346	-1.698777e+00	-3.613728e+01	-3.783605e+01
2650	-0.66488	-2.23497	-1.99749	0.182551	0.132959	0.217284	0.489725	-0.665847	-2.55616	-1.55815	-0.251959	-3.35919	-1.14433	-0.740618	-1.89385	-2.56719	-0.102363	-1.81262	-2.3091	-6.352368e+00	-3.637430e+01	-4.272667e+01
2660	-0.380608	-2.17205	-2.15202	0.185826	0.507637	0.205822	0.437963	-0.53817	-2.38518	-2.74119	-1.00238	-2.47362	-3.25595	-0.832	-0.840108	-2.4854	-0.466163	-1.35595	-2.43754	-9.605168e+00	-3.822783e+01	-4.783300e+01
2670	-0.43905	-1.61454	-2.64197	0.0863726	0.388181	0.457278	0.418644	-0.169897	-1.45432	-3.02848	-0.550129	-1.28182	-2.19918	-0.167278	-0.318739	-3.63937	-0.103356	-0.75949	-2.50918	-1.111301e+01	-3.907366e+01	-5.018667e+01
2680	-0.377204	-0.201618	-2.7245	0.168672	0.365105	0.190328	0.497012	-0.725266	-0.754513	-2.93147	-0.616114	-0.354939	-3.29884	-0.408836	-1.01255	-3.19855	-0.769437	-1.79313	-3.24379	-5.423005e+00	-3.615349e+01	-4.157649e+01
2690	-0.396081	-1.5391	-3.02725	0.138226	0.269179	0.20057	0.499947	-0.528087	-0.968528	-2.93154	-0.424115	-1.16595	-2.48939	-0.689814	-1.59567	-2.78616	-0.740394	-1.19548	-2.32595	-3.325169e+00	-3.606696e+01	-3.939213e+01
2700	-0.228545	-1.31866	-3.02725	0.0535221	0.179115	0.0730386	0.498361	-0.208367	-1.47031	-3.15457	-0.349487	-1.25143	-3.25653	-0.312259	-0.445251	-2.79524	-0.403693	-0.816933	-2.78088	1.859743e+00	-3.611355e+01	-3.425381e+01
2710	-0.171035	-1.68268	-2.69475	0.110328	0.11843	0.128503	0.478485	-0.519979	-1.55035	-3.13245	-0.531811	-0.952749	-3.05212	-0.514242	-1.54303	-2.69808	-0.18857	-1.61266	-3.18594	-1.782330e-01	-3.673252e+01	-3.691076e+01
2720	-0.810246	-1.54544	-3.42984	0.110328	0.11843	0.398999	0.487233	-0.875938	-1.59972	-2.91709	-0.613065	-1.28334	-4.12276	-0.56457	-1.42142	-4.12219	-0.459175	-1.20987	-4.39028	-4.837645e+00	-3.645184e+01	-4.128948e+01
2730	-0.456925	-1.77493	-4.38942	0.325679	0.0591899	0.167281	0.472388	-0.437646	-2.04005	-4.24465	-0.371502	-2.02115	-4.53701	-0.692482	-1.79025	-4.38377	-0.514083	-1.61615	-5.13854	-2.005987e+00	-3.693633e+01	-3.894231e+01
2740	-0.232363	-1.82155	-3.76327	0.0432022	0.0925386	0.151612	0.480861	-0.269033	-1.87498	-4.07504	-0.683515	-2.3826	-4.61898	-0.14243	-1.18791	-4.15941	-0.241145	-0.683131	-4.57137	-4.157198e+00	-3.665495e+01	-4.081215e+01
2750	-0.984137	-1.02798	-4.16474	0.176192	0.160265	0.127373	0.471117	-0.345056	-0.881313	-4.02089	-0.262908	-0.581214	-4.47623	-0.688713	-1.1654	-4.11662	-0.62627	-0.793776	-3.66921	-2.215582e+00	-3.697966e+01	-3.919525e+01
2760	-0.633335	-0.580374	-4.33942	0.362481	0.098128	0.509431	0.478949	-0.75887	-0.838608	-3.86194	-0.478078	-0.701795	-3.64183	-0.432458	-0.936181	-4.55237	-1.35074	-0.798114	-3.27609	-9.116449e+00	-3.671730e+01	-4.583374e+01
2770	-0.186134	-0.844374	-3.69557	0.257968	0.3392	0.226557	0.489334	-0.196694	-0.1674	-3.65859	-0.9927	-0.183622	-3.54049	-0.773735	-0.847037	-3.14077	-1.3393	-0.519947	-3.54034	-7.016455e+00	-3.638638e+01	-4.340283e+01
2780	-1.50977	-1.00756	-3.89431	0.207665	0.282689	0.126974	0.464134	-1.07668	-0.213802	-3.52962	-1.0489	-0.23332	-4.20508	-0.749442	-1.89141	-3.52978	-0.59477	-1.82615	-3.82519	-8.224689e+00	-3.722344e+01	-4.544813e+01
2790	-0.217547	-0.900066	-3.69908	0.760974	1.24802	0.329832	0.465258	-0.832097	-1.56336	-3.3907	-0.878482	-2.33699	-3.79856	-0.725728	-1.22239	-4.297	-1.46343	-2.88745	-4.65851	-1.849111e+01	-3.718357e+01	-5.567468e+01
2800	-0.882597	-2.53312	-3.26417	0.132123	1.11385	0.180678	0.450644	-0.701121	-3.04253	-3.18885	-0.414573	-2.26317	-3.68441	-0.860101	-2.22128	-3.03208	-1.1933	-2.72828	-3.88915	-1.151456e+01	-3.772237e+01	-4.923693e+01
2810	-0.432058	-4.26618	-2.93062	0.304525	0.37004	0.116788	0.433501	-0.801868	-3.36719	-2.93787	-0.717013	-3.92021	-3.3563	-1.32594	-4.23075	-2.95895	-1.45697	-4.16705	-3.42364	-7.739759e+00	-3.841470e+01	-4.615446e+01
2820	-0.804203	-4.29632	-4.28019	0.0540457	0.133017	0.176675	0.484014	-0.54856	-4.19204	-4.27983	-0.372394	-3.51227	-4.4135	-0.84958	-4.63958	-4.13013	-0.934028	-4.86978	-4.33214	-5.934989e-01	-3.655357e+01	-3.714706e+01
2830	-1.18621	-4.1347	-4.52744	0.099636	0.133017	0.14195	0.39256	-0.675297	-3.98113	-4.04131	-0.806209	-3.0584	-4.28445	-1.11834	-4.52227	-3.87004	-1.77008	-4.46761	-3.79579	-6.594381e+00	-4.038399e+01	-4.697837e+01
2840	-0.309046	-4.49272	-4.31516	0.858798	0.133017	0.0455467	0.488916	-1.39692	-4.33455	-4.58022	-1.02601	-4.49451	-4.75609	-1.32049	-4.44547	-4.25625	-1.47988	-4.31912	-4.46185	-5.509632e+00	-3.639934e+01	-4.190897e+01
2850	-0.711223	-4.83153	-4.70421	0.340142	0.100534	0.113573	0.499318	-0.44659	-4.46257	-4.92591	-0.344548	-5.52329	-5.44728	-0.343777	-4.4394	-4.67561	-0.600623	-5.0545	-4.71327	-9.485181e+00	-3.608540e+01	-4.557058e+01
2860	-0.673053	-5.31921	-4.30498	0.0936054	0.232523	0.252278	0.494064	-0.624537	-5.37556	-3.44747	-0.236205	-5.66171	-2.80617	-0.991382	-5.54018	-4.26705	-1.22778	-5.86713	-4.52837	-4.754986e+00	-3.624178e+01	-4.099676e+01
2870	-0.397558	-4.51637	-2.73835	0.174683	0.144057	0.108946	0.467199	-0.354193	-4.35255	-2.49948	-0.418631	-4.59867	-2.0107	-0.498542	-5.15056	-3.38631	-0.313255	-5.34476	-2.95588	-3.027372e+00	-3.711528e+01	-4.014265e+01
2880	-0.632996	-4.95879	-3.19521	0.360115	0.144057	0.252383	0.480486	-0.470743	-5.12915	-2.34274	-0.52856	-5.31161	-2.89715	-0.675693	-4.67129	-3.96326	-0.443276	-4.39348	-3.82925	-6.825120e+00	-3.666712e+01	-4.349224e+01
2890	-1.04993	-5.70844	-3.32342	0.460724	0.108642	0.51758	0.455647	-1.04593	-5.57027	-1.65807	-1.4207	-5.85356	-0.70444	-0.117012	-5.36425	-4.16671	-0.459267	-5.73328	-4.65483	-1.268718e+01	-3.753287e+01	-5.022005e+01
2900	-1.32949	-5.13423	-4.08517	0.493105	0.0398829	1.36858	0.468239	-0.995357	-5.15382	-1.58007	-1.7269	-5.40596	-1.09062	-0.604088	-5.1902	-2.76004	-0.995515	-4.99458	-2.61121	-1.644946e+01	-3.707899e+01	-5.352845e+01
2910	-0.957509	-5.55468	-3.25328	1.0183	0.341829	1.74988	0.455373	-0.459922	-5.52593	-1.13732	-1.73226	-4.85561	-2.19368	-0.204681	-4.89478	-1.63929	-1.03946	-5.62171	-1.86768	-2.369697e+01	-3.754310e+01	-6.124006e+01
2920	-0.980326	-4.54198	-3.0335	0.411554	0.13361	1.0319	0.493703	-0.502158	-5.29044	-3.76418	-1.43464	-5.32292	-1.94525	-1.22808	-4.3073	-1.8349	-0.979404	-4.58785	-1.15057	-1.655374e+01	-3.625268e+01	-5.280642e+01
2930	-0.321466	-4.79363	-3.46799	0.273252	0.13361	0.531537	0.444946	-1.0236	-5.20116	-4.01908	-1.51726	-5.70716	-5.41032	-0.848695	-4.71779	-2.02146	-1.71018	-4.49258	-1.11291	-1.429825e+01	-3.794491e+01	-5.224315e+01
2940	-0.338985	-4.34309	-2.21593	0.535242	0.13361	0.659283	0.480868	-0.40204	-4.46397	-1.6231	-1.79298	-4.41612	-0.922328	-0.347048	-4.37987	-1.64094	-0.483981	-4.45108	-2.08587	-1.055268e+01	-3.665472e+01	-4.720740e+01
2950	-0.642138	-4.1819	-1.62411	0.243285	0.118211	0.813176	0.461413	-0.262396	-4.16649	-1.56715	-0.342223	-4.48319	-1.98013	-0.367521	-4.01549	-0.696182	-0.592861	-3.91566	-1.39484	-7.316344e+00	-3.732102e+01	-4.463736e+01
2960	-0.484693	-3.84031	-2.26211	0.197868	0.118211	0.383262	0.480275	-0.249196	-3.65743	-2.9702	-0.55992	-4.5486	-3.52804	-0.632686	-4.35357	-2.11444	-0.716301	-4.56915	-1.97485	-7.799315e+00	-3.667400e+01	-4.447331e+01
2970	-0.639037	-4.04604	-2.37993	0.0803732	0.233465	0.844125	0.481973	-0.493078	-3.57762	-2.90078	-0.169673	-3.19675	-4.07307	-1.0402	-4.97719	-0.964074	-1.28589	-4.98665	-0.321041	-1.282056e+01	-3.661899e+01	-4.943955e+01
2980	-0.356781	-4.09347	-1.37485	0.155894	0.233465	1.01014	0.498304	-0.189379	-3.67714	-1.04219	-0.498877	-3.06989	-1.17006	-0.754605	-4.63694	-1.63014	-1.27378	-4.49366	-1.98101	-1.069259e+01	-3.611523e+01	-4.680783e+01
2990	-0.127172	-4.00582	-1.72759	0.122629	0.100958	0.152073	0.498304	-0.217569	-4.43268	-1.2792	-0.186493	-5.03091	-0.869304	-0.378045	-4.17883	-1.08598	-0.536118	-5.07651	-0.948937	-4.857019e+00	-3.611523e+01	-4.097225e+01
3000	-0.756741	-5.5923	-1.31408	0.116067	0.880968	0.240366	0.46861	-1.00287	-5.9287	-1.07428	-0.786945	-5.66908	-1.0673	-0.932185	-4.08431	-1.57567	-1.04824	-3.22433	-1.16863	-8.489283e+00	-3.706611e+01	-4.555539e+01
3010	-0.56929	-4.93373	-1.2783	0.160151	0.280562	0.185561	0.464606	-0.630026	-5.40516	-1.12696	-1.17763	-5.25965	-0.868193	-1.06004	-5.86975	-1.79198	-0.98952	-5.79539	-1.75137	-5.306615e+00	-3.720665e+01	-4.251327e+01
3020	-0.908286	-5.97833	-1.4322	0.0419205	0.247877	0.196039	0.499043	-1.36575	-5.96618	-0.476138	-1.57881	-5.99976	-0.00715878	-0.749408	-5.70659	-1.50551	-0.594875	-4.94602	-1.86755	-5.656617e+00	-3.609346e+01	-4.175008e+01
3030	-0.892872	-5.53334	-1.04726	0.210073	0.326133	0.389047	0.398547	-1.78131	-5.82546	-0.216505	-1.52682	-5.61051	-0.844624	-0.48112	-5.64708	-0.878887	-0.7288	-5.15789	-0.839754	-8.272399e+00	-4.006432e+01	-4.833672e+01
3040	-1.27836	-5.64583	-1.57971	0.312317	0.140981	1.26879	0.479519	-1.19332	-5.2459	-0.710781	-2.09543	-5.01211	-0.984744	-1.64385	-5.29924	-1.08251	-1.60396	-5.22211	-0.402161	-1.218367e+01	-3.669864e+01	-4.888231e+01
