"","Substance","CAS","Orange","ToxCast","Tox21","ExpoCast","NHANES","MW","Expo.Total_median","Expo.Total_95perc","Boiling.Point.Ave.exp","Boiling.Point.Ave.prd","Boiling.Point.Med.exp","Boiling.Point.Med.prd","Boiling.Point.Rng.exp","Boiling.Point.Rng.prd","Boiling.Point.Deg","LogP.Ave.exp","LogP.Ave.prd","LogP.Med.exp","LogP.Med.prd","LogP.Rng.exp","LogP.Rng.prd","LogP","Type","Rev.CAS"
"107","m-Xylene (Benzene, 1,3-dimethyl-)","108-38-3",0,NA,1,1,1,106.17,5.48e-05,0.00263,"139 (4)","142 (3)",139,142,"138 to 139","138 to 148","C","3.20 (2)","2.97 (4)",3.2,2.97,3.2,"2.66 to 3.28",3.2,"EXP","0"
"108","Cyclohexane 5.4 wt. %","110-82-7",0,NA,1,1,NA,84.16,8.45e-05,0.00634,"80.7 (6)","81.5 (3)",80.7,81.5,"80.0 to 81.0","73.1 to 89.7","C","3.39 (2)","3.18 (4)",3.34,3.18,3.34,"2.80 to 3.48",3.44,"EXP","0"
"109","3-Methylcholanthrene","56-49-5",0,NA,1,1,NA,268.35,2.02e-07,1.34e-05,"280 (1)","435 (3)",280,435,"280","411 to 455","C","6.42 (1)","5.72 (4)",6.42,5.72,6.42,"4.85 to 7.05",6.42,"EXP","0"
"110","Benzo[ghi]perylene 200 μg/mL","191-24-2",0,NA,1,1,NA,276.33,1.59e-08,1.1e-06,"500 (1)","479 (3)",500,479,"500","428 to 522","C","6.63 (1)","6.02 (4)",6.63,6.02,6.63,"4.67 to 6.79",6.63,"EXP","0"
"111","GLUFOSINATE","77182-82-2",0,NA,NA,1,NA,198.16,1.22e-08,1.28e-06,NA,"303 (2)",NA,303,NA,"280 to 327","C",NA,"-2.95 (2)",NA,-2.95,NA,"-4.73 to -1.17",-4.81,"EST","0"
"112","P-XYLENE","106-42-3",0,NA,1,1,1,106.17,9.21e-05,0.00496,"138 (4)","141 (3)",138,141,"137 to 138","135 to 148","C","3.15 (2)","2.98 (4)",3.15,2.98,3.15,"2.66 to 3.28",3.15,"EXP","0"
"113","bicyclohexyl","92-51-3",0,NA,1,1,NA,166.3,1.93e-07,1.51e-05,"229 (6)","232 (3)",227,232,"226 to 228","223 to 239","C",NA,"5.17 (4)",NA,5.17,NA,"4.53 to 5.86",5.86,"EST","0"
"114","tetralin","119-64-2",0,NA,1,1,NA,132.2,6.83e-06,0.00049,"207 (6)","200 (3)",207,200,"206 to 208","197 to 202","C","3.49 (2)","3.65 (4)",3.49,3.65,3.49,"3.01 to 3.98",3.49,"EXP","0"
"115","p-terphenyl","92-94-4",0,NA,1,1,NA,230.3,1.51e-07,1.4e-05,"392 (7)","358 (3)",397,358,"376 to 405","318 to 383","C","6.03 (1)","5.31 (4)",6.03,5.31,6.03,"5.13 to 5.52",6.03,"EXP","0"
"116","n-dodecane","112-40-3",0,NA,1,1,NA,170.33,8.76e-06,0.000687,"216 (4)","213 (3)",216,213,"215 to 217","206 to 217","C","6.10 (1)","6.30 (4)",6.1,6.3,6.1,"5.90 to 6.55",6.1,"EXP","0"
"117","2,6-diisopropylnaphthalene","24157-81-1",0,NA,1,1,NA,212.334,7.18e-08,3.28e-06,"280 (1)","305 (3)",280,305,"279 to 280","300 to 310","C",NA,"5.44 (4)",NA,5.44,NA,"5.03 to 6.08",NA,NA,"0"
"118","4,5-methylenephenanthrene","203-64-5",0,NA,1,1,NA,190.24,1.34e-07,7.87e-06,"353 (2)","334 (3)",353,334,"353","314 to 344","C",NA,"4.16 (4)",NA,4.16,NA,"3.14 to 5.12",4.6,"EST","0"
"119","2,2',4,4',5,5'-Hexachlorobiphenyl","35065-27-1",0,NA,1,1,1,360.88,3.8e-08,5.51e-06,NA,"351 (3)",NA,351,NA,"325 to 397","C","6.34 (2)","6.53 (4)",6.34,6.53,6.34,"5.29 to 7.62",7.75,"EXP","0"
"120","Pentadecane","629-62-9",0,1,1,1,NA,212.41,5.29e-06,0.000281,"270 (4)","267 (3)",270,267,"268 to 270","261 to 271","C",NA,"7.74 (4)",NA,7.74,NA,"7.28 to 8.10",7.71,"EST","0"
"121","Decane","124-18-5",0,1,1,1,NA,142.28,6.57e-06,0.00044,"174 (4)","169 (3)",174,169,"172 to 174","165 to 175","C","5.01 (1)","5.54 (4)",5.01,5.54,5.01,"5.24 to 5.93",5.01,"EXP","0"
"122","p-Cymene","99-87-6",0,1,1,1,NA,134.22,2.13e-05,0.00118,"177 (7)","175 (3)",177,175,"176 to 178","172 to 178","C","4.10 (1)","4.07 (4)",4.1,4.07,4.1,"4.00 to 4.17",4.1,"EXP","0"
"123","1,3,5-Trimethylbenzene","108-67-8",0,1,1,1,NA,120.19,3.22e-06,0.000218,"164 (8)","165 (3)",165,165,"163 to 166","157 to 170","C","3.42 (1)","3.42 (4)",3.42,3.42,3.42,"2.78 to 3.91",3.42,"EXP","0"
"124","Hexadecane","544-76-3",0,1,1,1,NA,226.44,5.69e-06,0.000389,"287 (4)","287 (3)",287,287,"287","277 to 298","C",NA,"8.27 (4)",NA,8.27,NA,"7.96 to 8.48",8.25,"EST","0"
"125","Undecane","1120-21-4",0,1,1,1,NA,156.31,6.37e-06,0.000451,"196 (4)","194 (3)",196,194,"196","186 to 206","C",NA,"5.88 (4)",NA,5.88,NA,"5.29 to 6.43",6.5,"EST","0"
"126","1,2,4,5-Tetramethylbenzene","95-93-2",0,NA,1,1,NA,134.22,2.68e-07,2.05e-05,"194 (4)","192 (3)",193,192,"191 to 196","191 to 195","C","4.00 (1)","3.72 (4)",4,3.72,4,"2.66 to 4.23",4,"EXP","0"
"127","Dibenzothiophene","132-65-0",0,NA,1,1,NA,184.26,6.47e-08,4.71e-06,"333 (1)","317 (3)",333,317,"333","303 to 334","C","4.38 (1)","3.80 (4)",4.38,3.8,4.38,"2.89 to 4.37",4.38,"EXP","0"
"128","Indene","95-13-6",0,NA,1,1,NA,116.16,1.08e-06,0.000131,"182 (5)","184 (3)",181,184,"181 to 182","181 to 188","C","2.92 (1)","2.89 (4)",2.92,2.89,2.92,"2.60 to 3.25",2.92,"EXP","0"
"129","Propylbenzene","103-65-1",0,1,1,1,NA,120.19,1.93e-06,0.000137,"159 (4)","162 (3)",159,162,"159 to 160","156 to 170","C","3.71 (2)","3.58 (4)",3.72,3.58,3.72,"3.49 to 3.68",3.69,"EXP","0"
"130","Cyclopentane","287-92-3",0,NA,1,1,NA,70.13,1.75e-06,0.000133,"49.0 (6)","51.4 (3)",49,51.4,"47.0 to 50.0","44.0 to 62.5","C","3.00 (2)","2.72 (4)",3,2.72,3,"2.48 to 2.87",3,"EXP","0"
"131","Isoprene (2-Methyl-1,3-butadiene)","78-79-5",0,NA,1,1,NA,68.12,4.77e-06,0.000325,"34.3 (2)","35.3 (3)",34.5,35.3,"33.0 to 36.0","35.0 to 35.8","C","2.42 (1)","2.32 (4)",2.42,2.32,2.42,"2.14 to 2.58",2.42,"EXP","0"
"132","Methylcyclopentane 3.269 wt. %","96-37-7",0,NA,1,1,NA,84.16,5.74e-08,3.32e-06,"71.6 (3)","72.9 (3)",71.5,72.9,"71.0 to 72.0","68.4 to 80.3","C","3.37 (1)","3.25 (4)",3.37,3.25,3.37,"3.10 to 3.38",3.37,"EXP","0"
"133","S,S,S-TRIBUTYL PHOSPHOROTRITHIOATE","78-48-8",0,1,1,1,NA,314.5163,1.76e-07,9.21e-06,NA,"341 (3)",NA,341,NA,"288 to 392","C","5.70 (1)","5.33 (4)",5.7,5.33,5.7,"4.28 to 5.75",5.7,"EXP","0"
"134","1,4-DICHLOROBENZENE","106-46-7",0,1,1,1,1,147,2.88e-06,0.000299,"174 (5)","173 (3)",174,173,"173 to 174","170 to 175","C","3.44 (1)","3.13 (4)",3.44,3.13,3.44,"2.86 to 3.28",3.44,"EXP","0"
"135","PHORATE","298-02-2",0,1,1,1,1,260.38,1.23e-08,1.74e-06,NA,"296 (3)",NA,296,NA,"284 to 319","C","3.56 (1)","3.50 (4)",3.56,3.5,3.56,"3.36 to 3.66",3.56,"EXP","0"
"136","DIBENZOFURAN","132-64-9",0,1,1,1,NA,168.19,1.16e-07,8.75e-06,"251 (6)","282 (3)",287,282,"154 to 332","251 to 304","C","4.12 (1)","3.34 (4)",4.12,3.34,4.12,"2.58 to 3.96",4.12,"EXP","0"
"137","CRESOL, ORTHO-","95-48-7",0,1,1,1,NA,108.14,3.88e-05,0.00228,"192 (7)","193 (3)",191,193,"190 to 201","186 to 201","C","1.95 (1)","1.99 (4)",1.95,1.99,1.95,"1.67 to 2.13",1.95,"EXP","0"
"138","ETHOPROP","13194-48-4",0,1,1,1,NA,242.34,8.62e-08,4.32e-06,NA,"286 (3)",NA,286,NA,"250 to 323","C","3.59 (1)","3.34 (4)",3.59,3.34,3.59,"3.13 to 3.64",3.59,"EXP","0"
"139","N-NITROSODIPHENYLAMINE","86-30-6",0,1,1,1,NA,198.22,1.67e-07,1.43e-05,NA,"318 (3)",NA,318,NA,"292 to 359","C","3.13 (1)","2.80 (4)",3.13,2.8,3.13,"2.15 to 3.16",3.13,"EXP","0"
"140","DIMETHOATE","60-51-5",0,1,1,1,1,229.26,9.94e-07,7.55e-05,"117 (1)","330 (3)",117,330,"117","309 to 361","C","0.78 (1)","7.98e-01 (4)",0.78,0.798,0.78,"0.28 to 1.31",0.78,"EXP","0"
"141","BUTYLATE","2008-41-5",0,1,1,1,NA,217.37,6.43e-08,4.36e-06,NA,"254 (3)",NA,254,NA,"225 to 300","C","4.15 (1)","3.86 (4)",4.15,3.86,4.15,"3.67 to 4.10",4.15,"EXP","0"
"142","2,6-DINITROTOLUENE","606-20-2",0,1,1,1,NA,182.13,1.29e-07,1.02e-05,"289 (4)","300 (3)",285,300,"285","297 to 305","C","2.10 (1)","1.90 (4)",2.1,1.9,2.1,"1.57 to 2.18",2.1,"EXP","0"
"143","BIS(2-ETHYLHEXYL)ADIPATE","103-23-1",0,1,1,1,NA,370.57,0.000148,0.0103,"250 (3)","393 (4)",167,393,"166 to 168","377 to 416","C",NA,"6.95 (4)",NA,6.95,NA,"5.69 to 8.12",6.11,"EST","0"
"144","CARBARYL","63-25-2",0,1,1,1,1,201.22,5.61e-08,3.42e-06,"315 (2)","317 (3)",315,317,"315","297 to 328","C","2.36 (1)","2.22 (4)",2.36,2.22,2.36,"1.44 to 2.62",2.36,"EXP","0"
"145","permethrin","52645-53-1",0,1,1,1,1,391.29,2e-06,0.000129,"200 (1)","380 (3)",200,380,"200","342 to 438","C","6.50 (1)","6.41 (4)",6.5,6.41,6.5,"5.81 to 7.43",6.5,"EXP","0"
"146","iprodione","36734-19-7",0,1,1,1,NA,330.17,1.64e-08,1.84e-06,NA,"407 (3)",NA,407,NA,"324 to 545","C","3.00 (1)","3.03 (4)",3,3.03,3,"2.64 to 3.51",3,"EXP","0"
"147","carbendazim","10605-21-7",0,1,1,1,NA,191.19,1e-08,1.18e-06,NA,"346 (3)",NA,346,NA,"275 to 405","C","1.52 (1)","1.15 (4)",1.52,1.15,1.52,"6.48e-01 to 1.66",1.52,"EXP","0"
"148","benomyl","17804-35-2",0,1,1,1,NA,290.32,1.11e-07,6.25e-06,NA,"370 (3)",NA,370,NA,"276 to 520","C","2.12 (1)","2.20 (4)",2.12,2.2,2.12,"1.48 to 3.39",2.12,"EXP","0"
"149","prochloraz","67747-09-5",0,1,1,1,NA,376.67,2.16e-08,2.26e-06,NA,"382 (3)",NA,382,NA,"314 to 501","C","4.10 (1)","3.76 (4)",4.1,3.76,4.1,"3.20 to 4.13",4.1,"EXP","0"
"150","vinclozolin","50471-44-8",0,1,1,1,NA,286.11,8.19e-08,4.94e-06,NA,"369 (3)",NA,369,NA,"310 to 447","C","3.10 (1)","3.12 (4)",3.1,3.12,3.1,"2.79 to 3.36",3.1,"EXP","0"
"151","fenitrothion","122-14-5",0,1,1,1,1,277.23,7.8e-08,5.72e-06,NA,"341 (3)",NA,341,NA,"315 to 360","C","3.30 (1)","3.33 (4)",3.3,3.33,3.3,"3.07 to 3.51",3.3,"EXP","0"
"152","fenvalerate","51630-58-1",0,NA,1,1,NA,419.9,1.47e-07,1.01e-05,NA,"417 (3)",NA,417,NA,"334 to 480","C","6.20 (1)","5.88 (4)",6.2,5.88,6.2,"4.48 to 6.76",6.2,"EXP","0"
"153","Ethoxyquin","91-53-2",0,1,1,1,NA,217.31,1.83e-07,2.93e-05,"124 (3)","306 (3)",124,306,"123 to 125","297 to 317","C",NA,"3.15 (4)",NA,3.15,NA,"2.18 to 3.87",3.87,"EST","0"
"154","Myclobutanil","88671-89-0",0,1,1,1,NA,288.78,8.75e-08,5.99e-06,"202 (1)","354 (3)",202,354,"202","318 to 407","C","2.94 (1)","3.14 (4)",2.94,3.14,2.94,"2.43 to 3.50",2.94,"EXP","0"
"155","Tebuconazole","107534-96-3",0,1,1,1,NA,307.82,1.58e-08,1.7e-06,NA,"346 (3)",NA,346,NA,"321 to 395","C","3.70 (1)","3.59 (4)",3.7,3.59,3.7,"3.06 to 3.89",3.7,"EXP","0"
"156","Rotenone","83-79-4",0,1,1,1,NA,394.42,2.15e-08,1.82e-06,"215 (1)","411 (3)",215,411,"215","309 to 501","C","4.10 (1)","3.61 (4)",4.1,3.61,4.1,"2.43 to 4.31",4.1,"EXP","0"
"157","Aldicarb","116-06-3",0,1,1,1,NA,190.26,1.25e-08,9.61e-07,NA,"264 (2)",NA,264,NA,"253 to 276","C","1.13 (1)","1.19 (3)",1.13,1.19,1.13,"1.04 to 1.44",1.13,"EXP","0"
"158","Thiabendazole","148-79-8",0,1,1,1,NA,201.25,7.28e-08,3.3e-06,NA,"360 (3)",NA,360,NA,"307 to 443","C","2.47 (1)","2.09 (4)",2.47,2.09,2.47,"1.83 to 2.37",2.47,"EXP","0"
"159","2-Phenylphenol","90-43-7",0,1,1,1,1,170.21,1.29e-05,0.000849,"228 (7)","289 (3)",218,289,"152 to 287","249 to 317","C","3.09 (1)","3.06 (4)",3.09,3.06,3.09,"2.76 to 3.28",3.09,"EXP","0"
"160","Reserpine","50-55-5",0,1,1,1,NA,608.68,8.18e-08,5.07e-06,"700 (1)","482 (3)",700,482,"700","302 to 682","C",NA,"3.26 (4)",NA,3.26,NA,"2.52 to 4.22",3.32,"EST","0"
"161","Linuron","330-55-2",0,1,1,1,NA,249.09,1.47e-08,1.14e-06,NA,"329 (3)",NA,329,NA,"306 to 366","C","3.20 (1)","2.84 (4)",3.2,2.84,3.2,"2.54 to 3.06",3.2,"EXP","0"
"162","Fenarimol","60168-88-9",0,1,1,1,NA,331.2,1.26e-07,5.85e-06,NA,"378 (3)",NA,378,NA,"343 to 437","C","3.60 (1)","2.99 (4)",3.6,2.99,3.6,"2.03 to 3.62",3.6,"EXP","0"
"163","Bisphenol A","80-05-7",0,1,1,1,1,228.29,2.11e-05,0.002,"200 (1)","349 (3)",200,349,"200","334 to 364","C","3.32 (1)","3.24 (4)",3.32,3.24,3.32,"2.40 to 3.73",3.32,"EXP","0"
"164","Diethylstilbestrol (DES)","56-53-1",0,1,1,1,NA,268.35,1.63e-07,1.48e-05,NA,"386 (3)",NA,386,NA,"364 to 407","C","5.07 (1)","4.33 (4)",5.07,4.33,5.07,"3.63 to 5.64",5.07,"EXP","0"
"165","Metalaxyl","57837-19-1",0,1,1,1,NA,279.33,1.01e-07,6.03e-06,NA,"325 (3)",NA,325,NA,"297 to 378","C","1.65 (1)","1.73 (4)",1.65,1.73,1.65,"1.44 to 1.97",1.65,"EXP","0"
"166","Abamectin","71751-41-2",0,1,1,1,NA,1732.14,4.37e-08,3.34e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"167","Pyriproxyfen","95737-68-1",0,1,1,1,NA,321.37,1.62e-08,2.24e-06,NA,"377 (3)",NA,377,NA,"333 to 424","C",NA,"3.97 (4)",NA,3.97,NA,"2.16 to 5.55",5.55,"EST","0"
"168","Propyzamide","23950-58-5",0,1,1,1,NA,256.13,1.59e-08,1.99e-06,NA,"343 (3)",NA,343,NA,"311 to 382","C","3.43 (1)","3.20 (4)",3.43,3.2,3.43,"2.77 to 3.57",3.43,"EXP","0"
"169","Phosmet","732-11-6",0,1,1,1,1,317.32,9.34e-08,5.22e-06,NA,"412 (3)",NA,412,NA,"351 to 480","C","2.78 (1)","2.89 (4)",2.78,2.89,2.78,"2.48 to 3.22",2.78,"EXP","0"
"170","Pentachloronitrobenzene","82-68-8",0,1,1,1,1,295.33,1.14e-07,5.91e-06,"328 (2)","320 (3)",328,320,"328","301 to 335","C","4.64 (1)","4.71 (4)",4.64,4.71,4.64,"4.42 to 5.03",4.64,"EXP","0"
"171","Norflurazon","27314-13-2",0,1,1,1,NA,303.67,1.08e-07,6.53e-06,NA,"344 (3)",NA,344,NA,"304 to 387","C","2.30 (1)","2.23 (4)",2.3,2.23,2.3,"1.98 to 2.53",2.3,"EXP","0"
"172","MGK-264","113-48-4",0,1,1,1,NA,275.39,2.65e-07,3.02e-05,NA,"353 (3)",NA,353,NA,"304 to 443","C","3.70 (1)","3.66 (4)",3.7,3.66,3.7,"3.56 to 3.76",3.7,"EXP","0"
"173","Malathion","121-75-5",0,1,1,1,1,330.36,1.53e-06,8.99e-05,"60.0 (1)","334 (3)",60,334,"60","290 to 360","C","2.36 (1)","2.36 (4)",2.36,2.36,2.36,"2.04 to 2.69",2.36,"EXP","0"
"174","Chlorthal-dimethyl","1861-32-1",0,1,1,1,NA,331.96,1.26e-07,7.29e-06,"365 (1)","338 (3)",365,338,"365","324 to 346","C","4.28 (1)","3.92 (4)",4.28,3.92,4.28,"3.49 to 4.24",4.28,"EXP","0"
"175","Bifenthrin","82657-04-3",0,1,1,1,NA,422.87,2.33e-08,2e-06,NA,"365 (3)",NA,365,NA,"296 to 437","C",NA,"7.09 (4)",NA,7.09,NA,"6.59 to 8.15",NA,NA,"0"
"176","6-Propyl-2-thiouracil","51-52-5",0,1,1,1,NA,170.23,1.22e-07,8.27e-06,NA,"341 (3)",NA,341,NA,"299 to 400","C","0.76 (1)","6.30e-01 (4)",0.76,0.63,0.76,"-0.165 to 1.33",0.98,"EST","0"
"177","INDENO(1,2,3-CD)PYRENE","193-39-5",0,NA,NA,NA,NA,276.33,NA,NA,"536 (1)","458 (3)",536,458,"536","366 to 522","C",NA,"5.97 (4)",NA,5.97,NA,"4.90 to 6.70",6.7,"EST","0"
"178","1,3,5-triethylbenzene","102-25-0",1,NA,NA,NA,NA,162.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.11,"EST","0"
"179","decylbenzene","104-72-3",1,NA,NA,NA,NA,218.38,NA,NA,"298 (1)","297 (3)",298,297,"298","292 to 304","C","7.35 (1)","7.22 (4)",7.35,7.22,7.35,"6.96 to 7.48",7.35,"EXP","0"
"180","trans-decalin","493-02-7",1,NA,NA,NA,NA,138.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.2,"EST","0"
"181","1,2-dimethylnaphthalene","573-98-8",1,NA,NA,NA,NA,156.22,NA,NA,"267 (3)","254 (3)",267,254,"266 to 267","228 to 267","C","4.31 (1)","3.58 (3)",4.31,3.58,4.31,"3.02 to 4.26",4.31,"EXP","0"
"182","9,10-dihydroanthracene","613-31-0",1,NA,NA,NA,NA,180.25,NA,NA,"305 (1)","285 (3)",305,285,"305","280 to 291","C","4.25 (1)","3.49 (3)",4.25,3.49,4.25,"2.96 to 4.27",4.25,"EXP","0"
"183","isopentylbenzene","2049-94-7",1,NA,NA,NA,NA,148.24,NA,NA,"195 (1)","195 (3)",195,195,"195","193 to 199","C",NA,"4.23 (3)",NA,4.23,NA,"4.01 to 4.43",4.43,"EST","0"
"184","2,2,4,4,6,8,8-heptamethylnonane","4390-04-9",1,NA,NA,NA,NA,226.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"185","1,2-dihydronaphthalene","447-53-0",1,NA,NA,NA,NA,130.19,NA,NA,"207 (1)","207 (2)",207,207,"207","207","C",NA,"2.97 (2)",NA,2.97,NA,"2.94 to 3.01",3.74,"EST","0"
"186","m-cymene","535-77-3",1,NA,NA,NA,NA,134.22,NA,NA,"175 (1)","175 (3)",175,175,"175","172 to 178","C","4.50 (1)","4.04 (3)",4.5,4.04,4.5,"4.00 to 4.10",4.5,"EXP","0"
"187","2-methylnonane","871-83-0",1,NA,NA,NA,NA,142.28,NA,NA,"167 (1)","161 (3)",167,161,"167","152 to 166","C",NA,"5.65 (3)",NA,5.65,NA,"5.18 to 6.43",5.18,"EST","0"
"188","1,2,3,6,7,8-hexahydropyrene","1732-13-4",1,NA,NA,NA,NA,208.3,NA,NA,NA,"325 (3)",NA,325,NA,"313 to 337","C",NA,"5.12 (3)",NA,5.12,NA,"4.43 to 6.12",6.12,"EST","0"
"189","n-octylcyclohexane","1795-15-9",1,NA,NA,NA,NA,196.375,NA,NA,"264 (1)","261 (3)",264,261,"264","251 to 269","C",NA,"6.98 (3)",NA,6.98,NA,"6.85 to 7.05",7.03,"EST","0"
"190","decylcyclohexane","1795-16-0",1,NA,NA,NA,NA,224.429,NA,NA,"299 (1)","299 (3)",299,299,"299","284 to 319","C",NA,"8.14 (3)",NA,8.14,NA,"7.79 to 8.63",8.01,"EST","0"
"191","1,3,5-trimethylcyclohexane","1839-63-0",1,NA,NA,NA,NA,126.241,NA,NA,"141 (1)","135 (2)",141,135,"141","132 to 139","C",NA,"4.17 (2)",NA,4.17,NA,"4.13 to 4.21",NA,NA,"0"
"192","2,3-dimethylheptane","3074-71-3",1,NA,NA,NA,NA,128.26,NA,NA,"141 (1)","140 (2)",141,140,"141","137 to 143","C",NA,"5.06 (2)",NA,5.06,NA,"4.70 to 5.42",4.61,"EST","0"
"193","1,2,3,4,5,6,7,8-octahydrophenanthrene","5325-97-3",1,NA,NA,NA,NA,186.296,NA,NA,"295 (1)","283 (3)",295,283,"295","278 to 288","C",NA,"4.82 (3)",NA,4.82,NA,"4.24 to 5.92",5.92,"EST","0"
"194","4-methyldodecane","6117-97-1",1,NA,NA,NA,NA,184.3642,NA,NA,NA,"223 (3)",NA,223,NA,"213 to 233","C",NA,"6.53 (3)",NA,6.53,NA,"5.85 to 7.10",NA,NA,"0"
"195","1,2,3,10b-tetrahydrofluoranthene","20279-21-4",1,NA,NA,NA,NA,206.287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"196","dodecylbenzene","25265-78-5",1,NA,NA,NA,NA,246.435,NA,NA,NA,"300 (3)",NA,300,NA,"263 to 324","C",NA,"6.97 (3)",NA,6.97,NA,"6.39 to 8.11",NA,NA,"0"
"197","2-methyl-1H-cyclopenta(l)phenanthrene","121254-39-5",1,NA,NA,NA,NA,NA,NA,NA,NA,"342 (2)",NA,342,NA,"309 to 375","C",NA,"4.56 (2)",NA,4.56,NA,"4.31 to 4.80",NA,NA,"0"
"198","5?(H)-androstane","438-22-2",1,NA,NA,NA,NA,260.46,NA,NA,NA,"327 (3)",NA,327,NA,"314 to 333","C",NA,"7.07 (3)",NA,7.07,NA,"6.65 to 7.66",6.65,"EST","0"
"199","fichtelite","2221-95-6",1,NA,NA,NA,NA,262.4776,NA,NA,NA,"320 (3)",NA,320,NA,"307 to 328","C",NA,"7.55 (3)",NA,7.55,NA,"7.41 to 7.79",NA,NA,"0"
"200","2,6,10-trimethyldodecane (96.9%)","3891-98-3",1,NA,NA,NA,NA,212.422,NA,NA,NA,"246 (3)",NA,246,NA,"228 to 262","C",NA,"7.42 (3)",NA,7.42,NA,"7.35 to 7.49",NA,NA,"0"
"201","dehydroabietine (96.7%)","5323-56-8",1,NA,NA,NA,NA,NA,NA,NA,NA,"311 (2)",NA,311,NA,"303 to 320","C",NA,"6.70 (2)",NA,6.7,NA,"6.09 to 7.31",NA,NA,"0"
"202","perhydrofluorene","5744-03-6",1,NA,NA,NA,NA,178.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.73,"EST","1"
"203","1,4,6,7-tetramethylnaphthalene","13764-18-6",1,NA,NA,NA,NA,184.2804,NA,NA,NA,"281 (3)",NA,281,NA,"267 to 298","C",NA,"4.20 (3)",NA,4.2,NA,"2.99 to 5.36",NA,NA,"0"
"204","perhydropyrene","16291-77-3",1,NA,NA,NA,NA,218.381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"205","3-ethylnonane","17302-11-3",1,NA,NA,NA,NA,188.312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"206","2,2,5,7-tetramethyltetralin","23342-25-8",1,NA,NA,NA,NA,188.312,NA,NA,NA,"256 (3)",NA,256,NA,"251 to 260","C",NA,"4.95 (3)",NA,4.95,NA,"4.01 to 5.92",NA,NA,"0"
"207","2-ethylanthracene","52251-71-5",1,NA,NA,NA,NA,206.28,NA,NA,NA,"343 (3)",NA,343,NA,"337 to 352","C","5.85 (2)","4.84 (3)",5.85,4.84,5.85,"4.44 to 5.38",5.85,"EXP","0"
"208","5,6-dimethyl-1-(4methylpentyl)naphthalene","89219-03-4",1,NA,NA,NA,NA,175.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"209","2,2',3,4,4',5,5'-Heptachlorobiphenyl","35065-29-3",0,NA,NA,NA,1,395.32,NA,NA,NA,"362 (3)",NA,362,NA,"334 to 416","C","7.72 (1)","7.43 (3)",7.72,7.43,7.72,"6.98 to 8.27",8.27,"EST","0"
"210","2,2',3,4,4',5'-Hexachlorobiphenyl","35065-28-2",0,NA,NA,NA,1,360.88,NA,NA,NA,"352 (3)",NA,352,NA,"325 to 397","C","7.44 (1)","6.85 (3)",7.44,6.85,7.44,"6.34 to 7.62",7.44,"EXP","0"
"211","2,2',4,5,5'-Pentachlorobiphenyl","37680-73-2",0,NA,NA,NA,1,326.43,NA,NA,NA,"342 (3)",NA,342,NA,"312 to 378","C","5.68 (2)","5.88 (3)",5.68,5.88,5.68,"4.66 to 6.98",6.8,"EXP","0"
"212","2,2',5,5'-Tetrachlorobiphenyl","35693-99-3",0,NA,NA,NA,1,291.99,NA,NA,NA,"325 (3)",NA,325,NA,"293 to 360","C","6.09 (1)","5.23 (3)",6.09,5.23,6.09,"4.11 to 6.34",6.09,"EXP","0"
"213","3,3',4-Trichlorobiphenyl","37680-69-6",0,NA,NA,NA,NA,257.546,NA,NA,NA,"309 (2)",NA,309,NA,"293 to 324","C",NA,"4.57 (2)",NA,4.57,NA,"3.96 to 5.17",NA,NA,"0"
"214","2,4,4'-Trichlorobiphenyl","7012-37-5",0,NA,NA,NA,1,257.54,NA,NA,NA,"317 (3)",NA,317,NA,"286 to 341","C","5.62 (1)","4.94 (3)",5.62,4.94,5.62,"3.99 to 5.69",5.62,"EXP","0"
"215","2,3,3'-Trichlorobiphenyl","38444-84-7",0,NA,NA,NA,NA,257.54,NA,NA,NA,"316 (3)",NA,316,NA,"284 to 341","C","5.57 (1)","4.83 (3)",5.57,4.83,5.57,"3.79 to 5.69",5.57,"EXP","0"
"216","2,4'-Dichlorobiphenyl","34883-43-7",0,NA,NA,NA,NA,223.1,NA,NA,NA,"302 (3)",NA,302,NA,"270 to 320","C","5.09 (1)","4.55 (3)",5.09,4.55,5.09,"4.11 to 5.05",5.09,"EXP","0"
