Order,SUBSTANCE.NAME,CAS_trimmed,toxcast,tox21,expocast,nhanes
479,URANIUM-235,15117-96-1,0,0,0,0
480,THORIUM-228,14274-82-9,0,0,0,0
481,URANIUM-234,13966-29-5,0,0,0,0
482,RADON-222,14859-67-7,0,0,0,0
483,COAL TARS,8007-45-2,0,0,0,0
484,COPPER,7440-50-8,0,0,0,0
485,CHRYSOTILE ASBESTOS,12001-29-5,0,0,0,0
486,PLUTONIUM-239,15117-48-3,0,0,0,0
487,POLONIUM-210,13981-52-7,0,0,0,0
488,PLUTONIUM-238,13981-16-3,0,0,0,0
489,LEAD-210,14255-04-0,0,0,0,0
490,AMOSITE ASBESTOS,12172-73-5,0,0,0,0
491,STRONTIUM-90,10098-97-2,0,0,0,0
492,PLUTONIUM,7440-07-5,0,0,0,0
493,RADON-220,22481-48-7,0,0,0,0
494,AMERICIUM-241,86954-36-1,0,0,0,0
495,BARIUM,7440-39-3,0,0,0,0
496,NEPTUNIUM-237,13994-20-2,0,0,0,0
497,HYDROGEN CYANIDE,74-90-8,0,0,0,0
498,PLUTONIUM-240,14119-33-6,0,0,0,0
499,MANGANESE,7439-96-5,0,0,0,0
500,POLYBROMINATED BIPHENYLS,67774-32-7,0,0,0,0
501,SELENIUM,7782-49-2,0,0,0,0
502,HEPTACHLORODIBENZO-P-DIOXIN,37871-00-4,0,0,0,0
503,TRICHLOROFLUOROETHANE,27154-33-2,0,0,0,0
504,BROMINE,7726-95-6,0,0,0,0
505,AROCLOR 1268,11100-14-4,0,0,0,0
506,"1,3-BUTADIENE",106-99-0,0,0,0,0
507,HEPTACHLORODIBENZOFURAN,38998-75-3,0,0,0,0
508,AMMONIA,7664-41-7,0,0,0,0
509,TRICHLOROETHANE,25323-89-1,0,0,0,0
510,TETRACHLOROBIPHENYL,26914-33-0,0,0,0,0
511,OXYCHLORDANE,27304-13-8,0,0,0,0
512,PALLADIUM,7440-05-3,0,0,0,0
513,GAMMA-CHLORDENE,56641-38-4,0,0,0,0
514,TETRACHLOROPHENOL,25167-83-3,0,0,0,0
515,CHLOROETHANE,75-00-3,0,0,0,0
516,ALUMINUM,7429-90-5,0,0,0,0
517,CARBON MONOXIDE,630-08-0,0,0,0,0
518,BUTYL METHYL PHTHALATE,34006-76-3,0,0,0,0
519,CHLOROMETHANE,74-87-3,0,0,0,0
520,HEXACHLORODIBENZOFURAN,55684-94-1,0,0,0,0
521,HYDROGEN SULFIDE,7783-06-4,0,0,0,0
522,"DIBENZOFURANS, CHLORINATED",42934-53-2,0,0,0,0
523,HEXACHLORODIBENZO-P-DIOXIN,34465-46-8,0,0,0,0
524,VANADIUM,7440-62-2,0,0,0,0
525,TETRACHLORODIBENZO-P-DIOXIN,41903-57-5,0,0,0,0
526,PENTACHLORODIBENZOFURAN,30402-15-4,0,0,0,0
527,PENTACHLORODIBENZO-P-DIOXIN,36088-22-9,0,0,0,0
528,"2,3-DIMETHYLNAPHTHALENE",581-40-8,0,0,0,0
529,FLUORINE,7782-41-4,0,0,0,0
530,CESIUM-137,10045-97-3,0,0,0,0
531,CHROMIC ACID,7738-94-5,0,0,0,0
532,NITRITE,14797-65-0,0,0,0,0
533,POTASSIUM-40,13966-00-2,0,0,0,0
534,DINITROTOLUENE,25321-14-6,0,0,0,0
535,COAL TAR PITCH,65996-93-2,0,0,0,0
536,SILVER,7440-22-4,0,0,0,0
537,THORIUM-227,15623-47-9,0,0,0,0
538,ARSENIC ACID,7778-39-4,0,0,0,0
539,BENZOPYRENE,73467-76-2,0,0,0,0
540,PYRETHRUM,8003-34-7,0,1,0,0
541,ALPHA-CHLORDENE,56534-02-2,0,0,0,0
542,URANIUM-233,13968-55-3,0,0,0,0
543,IODINE-131,10043-66-0,0,0,0,0
544,SODIUM ARSENITE,7784-46-5,0,0,0,0
545,ANTIMONY,7440-36-0,0,0,0,0
546,DICHLOROBENZENE,25321-22-6,0,0,0,0
547,TETRACHLOROETHANE,25322-20-7,0,0,0,0
548,DICHLOROETHANE,1300-21-6,0,0,0,0
549,ETHYL ETHER,60-29-7,0,0,0,0
550,"1,3-DICHLOROPROPENE, CIS-",10061-01-5,0,0,0,0
551,"1,2,3,4,6,7,8-HEPTACHLORODIBENZO-P-DIOXIN",35822-46-9,0,0,0,1
552,PHOSPHINE,7803-51-2,0,0,0,0
553,TRICHLOROBENZENE,12002-48-1,0,0,0,0
554,FLUORIDE ION,16984-48-8,0,0,0,0
555,"1,3-DICHLOROPROPENE, TRANS-",10061-02-6,0,0,0,0
556,THALLIUM,7440-28-0,0,0,0,0
557,stanozolol,10418-03-8,0,1,0,0
558,methyltrienolone (R1881),965-93-5,0,0,0,0
559,cabazitaxel,183133-96-2,0,0,0,0
560,Tartaric acid,526-83-0,0,0,0,0
561,Ranitidine·HCl,66357-59-3,0,0,0,0
562,Leucine,61-90-5,0,0,0,0
563,cisapride monohydrate,260779-88-2,0,0,0,0
564,bepridil hydrochloride,68099-86-5,0,0,0,0
565,Chloroquine,54-05-7,0,0,0,0
566,Azithromycin,83905-01-5 ,0,0,0,0
567,vernacalant,748810-28-8,0,0,0,0
568,sematilide,101526-83-4,0,0,0,0
569,quinidine sulfate,50-54-4,0,0,0,0
570,N-acetylprocainamide,32795-44-1,0,0,0,0
571,disopyramide phosphate,22059-60-5,0,0,0,0
572,citalopram hydrobromide,59729-33-8,0,0,0,0
573,Raloxifene,82640-04-8,1,1,0,0
574,Sodium Perchlorate,7601-89-0,0,0,0,0
575,DE-71,189084-62-6,0,0,0,0
